Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron
2013-10-05,Snacks,949.6,1.3,0.4,0.3,0.1,0.0,0.0,689.0,1686.3,238.0,10.5,191.8,4.4,5.2,58.5,30.3,5.9
2013-10-06,Breakfast,525.0,13.2,3.7,0.0,0.0,0.0,70.0,253.2,730.0,68.0,11.7,34.3,37.2,1.2,18.0,16.2,9.2
2013-10-17,Breakfast,290.0,12.2,8.5,0.0,0.0,0.0,45.0,850.0,0.0,25.0,0.0,1.3,15.3,6.0,2.0,25.0,15.0
2013-10-17,Lunch,406.3,6.6,1.7,1.5,2.3,0.0,47.3,49.8,455.1,66.8,1.2,18.6,15.9,35.1,40.5,2.7,7.8
2013-10-17,Dinner,488.6,13.0,3.6,0.0,0.0,0.0,70.0,253.4,532.4,58.2,11.7,31.5,37.3,6.9,137.9,21.0,9.0
2013-10-17,Snacks,264.6,8.2,3.6,1.4,2.8,0.0,4.0,318.0,0.0,43.0,2.4,17.2,4.6,0.0,0.0,0.0,0.0
2013-10-18,Breakfast,580.0,24.4,17.0,0.0,0.0,0.0,90.0,1700.0,0.0,50.0,0.0,2.6,30.6,12.0,4.0,50.0,30.0
2013-10-18,Lunch,1573.7,53.5,15.0,0.0,0.0,0.0,143.0,2167.7,2955.3,230.3,11.3,15.0,110.7,4.0,75.0,588.9,14.6
2013-10-18,Dinner,420.0,12.8,3.6,0.0,0.0,0.0,70.0,252.0,300.0,40.6,8.6,19.6,36.0,0.0,0.0,15.0,8.0
2013-10-20,Breakfast,378.0,14.4,0.0,1.0,1.5,0.6,0.0,105.0,150.0,51.4,5.0,12.0,13.6,15.0,20.0,0.0,10.0
2013-10-20,Lunch,1047.3,72.5,8.0,6.3,11.6,0.0,840.8,780.4,270.4,41.1,1.5,6.1,57.0,26.8,0.0,13.8,32.2
2013-10-20,Dinner,1050.0,26.4,7.4,0.0,0.0,0.0,140.0,506.4,1460.0,136.0,23.4,68.6,74.4,2.4,36.0,32.4,18.4
2013-10-31,Breakfast,870.0,36.6,25.5,0.0,0.0,0.0,135.0,2550.0,0.0,75.0,0.0,3.9,45.9,18.0,6.0,75.0,45.0
2013-10-31,Lunch,406.3,6.6,1.7,1.5,2.3,0.0,47.3,49.8,455.1,66.8,1.2,18.6,15.9,35.1,40.5,2.7,7.8
2013-10-31,Dinner,742.3,24.4,7.0,0.3,0.5,0.0,306.0,548.2,863.8,81.9,13.6,39.9,50.9,11.2,18.0,58.2,15.0
